Q14865364	dopamine:sodium symporter activity	Q22290488	dopamine uptake
Q22324643	chloramphenicol transporter activity	Q14907431	chloramphenicol transport
Q22324644	polymyxin transporter activity	Q22290196	polymyxin transport
Q22324645	fosmidomycin transporter activity	Q22290081	fosmidomycin transport
Q22324646	bicyclomycin transporter activity	Q22290405	bicyclomycin transport
Q22324647	carbonyl cyanide m-chlorophenylhydrazone transporter activity	Q22290408	carbonyl cyanide m-chlorophenylhydrazone transport
Q22324648	organomercurial transporter activity	Q22290407	organomercurial transport
Q22324649	5-amino-1-ribofuranosylimidazole-4-carboxamide transporter activity	Q22290307	5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport
Q22324650	modified amino acid transmembrane transporter activity	Q21135947	modified amino acid transport
Q22324653	nucleotide transmembrane transporter activity	Q21121278	nucleotide transmembrane transport
Q22324655	biopterin transporter activity	Q22292018	biopterin transport
Q22324657	nicotinamide mononucleotide transmembrane transporter activity	Q22290378	nicotinamide mononucleotide transmembrane transport
Q22324658	5-formyltetrahydrofolate transporter activity	Q22290132	5-formyltetrahydrofolate transport
Q22324659	coenzyme transporter activity	Q22290141	coenzyme transport
Q22324660	pantothenate transmembrane transporter activity	Q21127147	pantothenate transmembrane transport
Q22324661	pantothenate:sodium symporter activity	Q21123414	sodium ion import across plasma membrane
Q22324662	adenosine 3',5'-bisphosphate transmembrane transporter activity	Q22290385	adenosine 3',5'-bisphosphate transmembrane transport
Q22324667	vitamin B6 transporter activity	Q22290477	vitamin B6 transport
Q22324668	pyridoxal transmembrane transporter activity	Q22290484	pyridoxal transmembrane transport
Q22324669	pyridoxine transmembrane transporter activity	Q22290482	pyridoxine transmembrane transport
Q22324670	pyridoxamine transmembrane transporter activity	Q22290479	pyridoxamine transmembrane transport
Q22323280	peptidyl-arginine C-methyltransferase activity	Q22283741	peptidyl-arginine C-methylation
Q22320801	DNA translocase activity involved in viral DNA genome packaging	Q22279855	viral DNA genome packaging
Q22320806	RNA translocase activity involved in viral RNA genome packaging	Q21114966	viral RNA genome packaging
Q22320811	clathrin-uncoating ATPase activity	Q21115370	clathrin coat disassembly
Q22324672	adenine nucleotide transmembrane transporter activity	Q21111581	adenine nucleotide transport
Q22324673	5'-adenylyl sulfate transmembrane transporter activity	Q22290398	5'-adenylyl sulfate transmembrane transport
Q22324674	guanine nucleotide transmembrane transporter activity	Q22290397	guanine nucleotide transmembrane transport
Q22324676	UDP-N-acetylgalactosamine transmembrane transporter activity	Q22290366	UDP-N-acetylgalactosamine transport
Q22324677	UDP-glucose transmembrane transporter activity	Q21121297	UDP-glucose transport
Q22324678	purine nucleotide-sugar transmembrane transporter activity	Q22290371	purine nucleotide-sugar transmembrane transport
Q22324679	GDP-mannose transmembrane transporter activity	Q21136288	GDP-mannose transmembrane transport
Q22324680	GDP-fucose transmembrane transporter activity	Q22290370	GDP-fucose transport
Q22324681	xanthosine transmembrane transporter activity	Q22292038	xanthosine transport
Q22324684	pyrimidine nucleoside transmembrane transporter activity	Q21106444	pyrimidine-containing compound transmembrane transport
Q22324170	1-aminocyclopropane-1-carboxylate synthase activity	Q22276497	1-aminocyclopropane-1-carboxylate biosynthetic process
Q22324192	hercynylcysteine sulfoxide lyase activity (ergothioneine-forming)	Q22274965	ergothioneine biosynthetic process
Q27917169	ion channel regulator activity involved in G-protein coupled receptor signaling pathway	Q14758909	G-protein coupled receptor signaling pathway
Q27917170	potassium channel activator activity involved in G-protein coupled receptor signaling pathway	Q27917174	potassium channel activating, G-protein coupled receptor signaling pathway
Q27917297	G-protein gated potassium channel activity involved in regulation of postsynaptic membrane potential	Q863533	postsynaptic potential
Q28054296	toxin activity	Q372016	pathogenesis
Q22324685	uridine transmembrane transporter activity	Q21126272	uridine transport
Q22324688	cytidine transmembrane transporter activity	Q22292035	cytidine transport
Q22324695	aldonate transmembrane transporter activity	Q22290352	aldonate transport
Q22324696	phosphoglycerate transmembrane transporter activity	Q22290353	phosphoglycerate transport
Q22324697	hexose phosphate transmembrane transporter activity	Q22290347	hexose phosphate transport
Q22324701	glucuronoside transmembrane transporter activity	Q22290630	glucuronoside transport
Q22324705	alpha-glucoside transmembrane transporter activity	Q22292513	alpha-glucoside transport
Q22324708	disaccharide transmembrane transporter activity	Q22292286	disaccharide transport
Q22324710	salicin transmembrane transporter activity	Q22290431	salicin transport
Q22324711	arbutin transmembrane transporter activity	Q22292507	arbutin transport
Q22324712	(+)-abscisic acid D-glucopyranosyl ester transmembrane transporter activity	Q22292511	(+)-abscisic acid D-glucopyranosyl ester transmembrane transport
Q22324713	methylgalactoside transmembrane transporter activity	Q22292516	methylgalactoside transport
Q22324715	peptidoglycan transporter activity	Q21762721	peptidoglycan transport
Q22324716	peptidoglycan peptide transporter activity	Q22290199	peptidoglycan-associated peptide transport
Q22324717	glycerophosphodiester transmembrane transporter activity	Q21756235	glycerophosphodiester transmembrane transport
Q22324721	mannosylglycerate transmembrane transporter activity	Q22290723	mannosylglycerate transport
Q22324722	lysophospholipid transporter activity	Q21173822	lysophospholipid transport
Q22324723	glycolipid-translocating activity	Q21123829	glycolipid translocation
Q22324724	arabitol transmembrane transporter activity	Q22290435	arabinitol transport
Q22324728	melibiose transmembrane transporter activity	Q22292316	melibiose transport
Q22324734	raffinose transmembrane transporter activity	Q22292262	raffinose transport
Q22324736	dextrin transmembrane transporter activity	Q22292335	dextrin transport
Q22324737	maltodextrin transmembrane transporter activity	Q22292338	maltodextrin transport
Q22324738	arabinose transmembrane transporter activity	Q22292331	arabinose transport
Q22324740	aldarate transmembrane transporter activity	Q22290712	aldarate transport
Q22324741	D-glucarate transmembrane transporter activity	Q22290713	D-glucarate transport
Q22324742	galactarate transmembrane transporter activity	Q22290715	galactarate transport
Q22324743	2-keto-3-deoxygluconate:proton symporter activity	Q22290635	2-keto-3-deoxygluconate transport
Q22324744	D-galactonate transmembrane transporter activity	Q22290632	D-galactonate transport
Q22324745	L-idonate transmembrane transporter activity	Q22290633	L-idonate transport
Q22324746	glycerate transmembrane transporter activity	Q22290599	glycerate transmembrane transport
Q22324748	hexuronate transmembrane transporter activity	Q22290638	hexuronate transport
Q22324748	hexuronate transmembrane transporter activity	Q22292346	hexuronide transport
Q22324760	fucose transmembrane transporter activity	Q22292373	fucose transport
Q22324765	pentose transmembrane transporter activity	Q22292349	pentose transport
Q22324772	uronic acid transmembrane transporter activity	Q22290637	uronic acid transport
Q22324773	glucuronate transmembrane transporter activity	Q22290639	glucuronate transport
Q22323525	peptidyltransferase activity	Q211935	protein biosynthesis
Q22325074	transcription factor activity, core RNA polymerase III binding	Q14878261	transcription from RNA polymerase III promoter
Q22325083	transcription factor activity, RNA polymerase III promoter sequence-specific binding, TFIIIB recruiting	Q22295269	RNA polymerase III transcriptional preinitiation complex assembly
Q22325104	transcriptional repressor activity, RNA polymerase II activating transcription factor binding	Q14633878	negative regulation of transcription from RNA polymerase II promoter
Q22325106	transcription factor activity, RNA polymerase I transcription factor recruiting	Q22295267	RNA polymerase I transcriptional preinitiation complex assembly
Q22325109	anti-sigma factor antagonist activity	Q14818066	positive regulation of transcription, DNA-templated
Q22325110	transcription factor activity, core RNA polymerase binding	Q21096354	regulation of nucleic acid-templated transcription
Q22325111	transcription factor activity, core RNA polymerase I binding	Q14908087	transcription from RNA polymerase I promoter
Q22325112	transcription factor activity, core RNA polymerase II recruiting	Q21111543	RNA polymerase II transcriptional preinitiation complex assembly
Q22325116	mitochondrial sequence-specific DNA-binding transcription factor activity	Q21120064	transcription from mitochondrial promoter
Q22325136	transcription antitermination factor activity, DNA binding	Q21198918	transcription antitermination
Q22325162	transcription antitermination factor activity, RNA binding	Q21198918	transcription antitermination
Q24457452	voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	Q24457453	induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration
Q31393605	structural constituent of presynaptic actin cytoskeleton	Q31393106	presynaptic actin cytoskeleton organization
Q22323662	peptide alpha-N-propionyltransferase activity	Q22284208	N-terminal protein amino acid propionylation
Q22323692	H2A histone acetyltransferase activity	Q21096245	histone H2A acetylation
Q22323693	histone acetyltransferase activity (H2A-K5 specific)	Q22284126	histone H2A-K5 acetylation
Q22323694	histone acetyltransferase activity (H2A-K9 specific)	Q22284124	histone H2A-K9 acetylation
Q22323695	histone acetyltransferase activity (H3-K56 specific)	Q22284133	histone H3-K56 acetylation
Q22323696	histone acetyltransferase activity (H3-K23 specific)	Q22284128	histone H3-K23 acetylation
Q22323698	histone acetyltransferase activity (H3-K18 specific)	Q22284129	histone H3-K18 acetylation
Q22323699	histone acetyltransferase activity (H3-K9 specific)	Q21108306	histone H3-K9 acetylation
Q22323700	histone acetyltransferase activity (H3-K14 specific)	Q21100436	histone H3-K14 acetylation
Q22323701	histone acetyltransferase activity (H3-K27 specific)	Q22284132	histone H3-K27 acetylation
Q22323702	histone acetyltransferase activity (H3-K4 specific)	Q21121558	histone H3-K4 acetylation
Q22323704	histone acetyltransferase activity (H3-K36 specific)	Q22284131	histone H3-K36 acetylation
Q22323705	H2B histone acetyltransferase activity	Q21106384	histone H2B acetylation
Q22323706	histone acetyltransferase activity (H2B-K12 specific)	Q22284122	histone H2B-K12 acetylation
Q22323707	histone acetyltransferase activity (H2B-K5 specific)	Q22284121	histone H2B-K5 acetylation
Q54810641	general transcription factor activity	Q14763010	transcription, DNA-templated
Q55458518	intracellular cAMP-activated cation channel activity involved in regulation of presynaptic membrane potential	Q863533	postsynaptic potential
Q55458519	intracellular cAMP-activated cation channel activity involved in regulation of postsynaptic membrane potential	Q863533	postsynaptic potential
Q63165881	RNA binding involved in posttranscriptional gene silencing	Q22260826	posttranscriptional gene silencing
Q63771572	cargo adaptor activity	Q14860403	vesicle-mediated transport
Q66986412	lipopolysaccharide transfer activity	Q14907572	lipopolysaccharide transport
Q24457646	structural constituent of synapse	Q14862256	synapse organization
Q24457649	structural constituent of postsynaptic specialization	Q24457651	maintenance of postsynaptic specialization structure
Q24457653	structural constituent of postsynaptic density	Q22295010	maintenance of postsynaptic density structure
Q24457657	structural constituent of presynaptic active zone	Q21108056	maintenance of presynaptic active zone structure
Q24476895	calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration	Q22243226	regulation of presynaptic cytosolic calcium ion concentration
Q24476897	calcium:cation antiporter activity involved in regulation of presynaptic cytosolic calcium ion concentration	Q22243226	regulation of presynaptic cytosolic calcium ion concentration
Q24476898	calcium-induced calcium release activity involved in regulation of presynaptic cytosolic calcium ion concentration	Q22243226	regulation of presynaptic cytosolic calcium ion concentration
Q24476902	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	Q22243226	regulation of presynaptic cytosolic calcium ion concentration
Q24476942	calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration	Q22243228	regulation of postsynaptic cytosolic calcium ion concentration
Q24476946	calcium-transporting ATPase activity involved in regulation of postsynaptic cytosolic calcium ion concentration	Q22243228	regulation of postsynaptic cytosolic calcium ion concentration
Q24476948	calcium-induced calcium release activity involved in regulation of postsynaptic cytosolic calcium ion concentration	Q22243228	regulation of postsynaptic cytosolic calcium ion concentration
Q24476949	voltage-gated calcium channel activity involved in regulation of postsynaptic cytosolic calcium levels	Q22243228	regulation of postsynaptic cytosolic calcium ion concentration
Q24491384	neurotransmitter receptor regulator activity	Q24491385	regulation of neurotransmitter receptor activity
Q24493251	ligand-gated calcium channel activity	Q14865170	calcium-mediated signaling
Q24493361	coreceptor activity involved in canonical Wnt signaling pathway	Q14762275	canonical Wnt signaling pathway
Q24493377	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	Q14897651	Wnt signaling pathway, planar cell polarity pathway
Q24496236	ubiquitin ligase inhibitor activity	Q22245593	negative regulation of ubiquitin protein ligase activity
Q24498454	voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential	Q863533	postsynaptic potential
Q41508162	tRNA U34 thiol-transferase activity	Q21109964	tRNA wobble uridine modification
Q47009324	structural constituent of postsynaptic intermediate filament cytoskeleton	Q47009325	postsynaptic intermediate filament cytoskeleton organization
Q47009335	structural constituent of postsynapse	Q47009192	postsynapse organization
Q47009336	structural constituent of presynapse	Q47009193	presynapse organization
Q47009748	nucleocytoplasmic carrier activity	Q15316725	nucleocytoplasmic transport
Q22323935	dihydrofolate synthase activity	Q22274893	dihydrofolate biosynthetic process
Q22323943	amino acid ligation activity by nonribosomal peptide synthase	Q22276387	nonribosomal peptide biosynthetic process
Q22324020	first spliceosomal transesterification activity	Q21105016	RNA splicing, via transesterification reactions
Q24576254	postsynaptic neurotransmitter receptor activity	Q22243207	chemical synaptic transmission, postsynaptic
Q24576268	structural constituent of postsynaptic actin cytoskeleton	Q24576267	postsynaptic actin cytoskeleton organization
Q26250723	ceramide-translocating ATPase activity	Q26250724	ceramide translocation
Q26472231	protein deglycase activity	Q26453705	protein deglycation
